fullname,motivation,surname,firstname,share,born,year,age,born_city,died,is_alive,category,born_country,gender,born_country_code,affiliation_city,affiliation,affiliation_country
Jacobus Henricus van 't Hoff,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,van 't Hoff,Jacobus Henricus,1,1852-08-30,1901,48,Rotterdam,3/1/1911,FALSE,chemistry,the Netherlands,male,NL,Berlin,Berlin University,Germany
Sully Prudhomme,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",Prudhomme,Sully,1,1839-03-16,1901,61,Paris,9/7/1907,FALSE,literature,France,male,FR,,none,
Emil Adolf von Behring,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",von Behring,Emil Adolf,1,1854-03-15,1901,46,Hansdorf (now Jankowa),3/31/1917,FALSE,medicine,Prussia (now Poland),male,PL,Marburg,Marburg University,Germany
Frédéric Pussy,,Passy,Frédéric,2,1822-05-20,1901,78,Paris,6/12/1912,FALSE,peace,France,male,FR,,none,
Jean Henry Dunant,,Dunant,Jean Henry,2,1828-05-08,1901,72,Geneva,10/30/1910,FALSE,peace,Switzerland,male,CH,,none,
Wilhelm Conrad Röntgen,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Röntgen,Wilhelm Conrad,1,1845-03-27,1901,55,Lennep (now Remscheid),2/10/1923,FALSE,physics,Prussia (now Germany),male,DE,Munich,Munich University,Germany
Hermann Emil Fischer,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,Fischer,Hermann Emil,1,1852-10-09,1902,49,Euskirchen,7/15/1919,FALSE,chemistry,Prussia (now Germany),male,DE,Berlin,Berlin University,Germany
Christian Matthias Theodor Mommsen,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",Mommsen,Christian Matthias Theodor,1,1817-11-30,1902,84,Garding,11/1/1903,FALSE,literature,Schleswig (now Germany),male,DE,,none,
Ronald Ross,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",Ross,Ronald,1,1857-05-13,1902,44,Almora,9/16/1932,FALSE,medicine,India,male,IN,Liverpool,University College,United Kingdom
Élie Ducommun,,Ducommun,Élie,2,1833-02-19,1902,68,Geneva,12/7/1906,FALSE,peace,Switzerland,male,CH,,none,
Charles Albert Gobat,,Gobat,Charles Albert,2,1843-05-21,1902,58,Tramelan,3/16/1914,FALSE,peace,Switzerland,male,CH,,none,
Pieter Zeeman,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Zeeman,Pieter,2,1865-05-25,1902,36,Zonnemaire,10/9/1943,FALSE,physics,the Netherlands,male,NL,Amsterdam,Amsterdam University,the Netherlands
Hendrik Antoon Lorentz,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Lorentz,Hendrik Antoon,2,1853-07-18,1902,48,Arnhem,2/4/1928,FALSE,physics,the Netherlands,male,NL,Leiden,Leiden University,the Netherlands
Svante August Arrhenius,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,Arrhenius,Svante August,1,1859-02-19,1903,43,Vik,10/2/1927,FALSE,chemistry,Sweden,male,SE,Stockholm,Stockholm University,Sweden
Bjørnstjerne Martinus Bjørnson,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",Bjørnson,Bjørnstjerne Martinus,1,1832-12-08,1903,70,Kvikne,4/26/1910,FALSE,literature,Norway,male,NO,,none,
Niels Ryberg Finsen,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",Finsen,Niels Ryberg,1,1860-12-15,1903,42,Thorshavn,9/24/1904,FALSE,medicine,Faroe Islands (Denmark),male,DK,Copenhagen,Finsen Medical Light Institute,Denmark
William Randal Cremer,,Cremer,William Randal,1,1828-03-18,1903,74,Fareham,7/22/1908,FALSE,peace,United Kingdom,male,GB,,none,
"Marie Curie, née Sklodowska",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,"Curie, née Sklodowska",Marie,4,1867-11-07,1903,35,Warsaw,7/4/1934,FALSE,physics,Russian Empire (now Poland),female,PL,Paris,Sorbonne University,France
Pierre Curie,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Curie,Pierre,4,1859-05-15,1903,43,Paris,4/19/1906,FALSE,physics,France,male,FR,Paris,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France
Antoine Henri Becquerel,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,Becquerel,Antoine Henri,2,1852-12-15,1903,50,Paris,8/25/1908,FALSE,physics,France,male,FR,Paris,École Polytechnique,France
Sir William Ramsay,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",Ramsay,Sir William,1,1852-10-02,1904,51,Glasgow,7/23/1916,FALSE,chemistry,Scotland,male,GB,London,University College,United Kingdom
Frédéric Mistral,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",Mistral,Frédéric,2,1830-09-08,1904,73,Maillane,3/25/1914,FALSE,literature,France,male,FR,,none,
José Echegaray y Eizaguirre,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",Echegaray y Eizaguirre,José,2,1832-04-19,1904,71,Madrid,9/4/1916,FALSE,literature,Spain,male,ES,,none,
Ivan Petrovich Pavlov,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",Pavlov,Ivan Petrovich,1,1849-09-14,1904,54,Ryazan,2/27/1936,FALSE,medicine,Russia,male,RU,St. Petersburg,Military Medical Academy,Russia
Lord Rayleigh (John William Strutt),for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,(John William Strutt),Lord Rayleigh,1,1842-11-12,1904,61,"Langford Grove, Maldon, Essex",6/30/1919,FALSE,physics,United Kingdom,male,GB,London,Royal Institution of Great Britain,United Kingdom
Johann Friedrich Wilhelm Adolf von Baeyer,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",von Baeyer,Johann Friedrich Wilhelm Adolf,1,1835-10-31,1905,69,Berlin,8/20/1917,FALSE,chemistry,Prussia (now Germany),male,DE,Munich,Munich University,Germany
Henryk Sienkiewicz,because of his outstanding merits as an epic writer,Sienkiewicz,Henryk,1,1846-05-05,1905,58,Wola Okrzejska,11/15/1916,FALSE,literature,Poland,male,PL,,none,
Robert Koch,for his investigations and discoveries in relation to tuberculosis,Koch,Robert,1,1843-12-11,1905,61,Clausthal (now Clausthal-Zellerfeld),5/27/1910,FALSE,medicine,Germany,male,DE,Berlin,Institute for Infectious Diseases,Germany
"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",,"von Suttner, née Countess Kinsky von Chinic und Tettau",Baroness Bertha Sophie Felicita,1,1843-06-09,1905,61,Prague,6/21/1914,FALSE,peace,Austrian Empire (now Czech Republic),female,CZ,,none,
Philipp Eduard Anton von Lenard,for his work on cathode rays,von Lenard,Philipp Eduard Anton,1,1862-06-07,1905,42,Pressburg (now Bratislava),5/20/1947,FALSE,physics,Hungary (now Slovakia),male,SK,Kiel,Kiel University,Germany
Henri Moissan,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",Moissan,Henri,1,1852-09-28,1906,53,Paris,2/20/1907,FALSE,chemistry,France,male,FR,Paris,Sorbonne University,France
Giosuè Carducci,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",Carducci,Giosuè,1,1835-07-27,1906,70,Val di Castello,2/16/1907,FALSE,literature,Tuscany (now Italy),male,IT,,none,
Camillo Golgi,in recognition of their work on the structure of the nervous system,Golgi,Camillo,2,1843-07-07,1906,62,Corteno,1/21/1926,FALSE,medicine,Italy,male,IT,Pavia,Pavia University,Italy
